timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681257782,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-15,text,false,,1231,0,15,15,null,0,0,0
946681257875,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-13,text,false,,1231,0,15,15,null,0,0,0
946681239558,22630,200,,Thread-Gruppe 1-10,text,true,,10461,464,15,15,null,613,0,9
946681258475,3713,200,,Thread-Gruppe 1-13,text,true,,9792,279,15,15,null,3713,0,0
946681239558,613,302,,Thread-Gruppe 1-10,,true,,669,310,15,15,null,613,0,9
946681240171,22017,200,,Thread-Gruppe 1-10,text,true,,9792,154,15,15,null,22017,0,0
946681238775,23413,200,,Thread-Gruppe 1-9,text,true,,10461,464,15,15,null,1801,0,12
946681238775,1801,302,,Thread-Gruppe 1-9,,true,,669,310,15,15,null,1801,0,12
946681240576,21612,200,,Thread-Gruppe 1-9,text,true,,9792,154,15,15,null,21612,0,0
946681239075,23115,200,,Thread-Gruppe 1-14,text,true,,10461,464,15,15,null,1195,0,6
946681239075,1195,302,,Thread-Gruppe 1-14,,true,,669,310,15,15,null,1195,0,6
946681240270,21920,200,,Thread-Gruppe 1-14,text,true,,9792,154,15,15,null,21920,0,0
946681239367,22823,200,,Thread-Gruppe 1-4,text,true,,10461,464,15,15,null,1099,0,11
946681239367,1099,302,,Thread-Gruppe 1-4,,true,,669,310,15,15,null,1099,0,11
946681240466,21724,200,,Thread-Gruppe 1-4,text,true,,9792,154,15,15,null,21724,0,0
946681237078,25117,200,,Thread-Gruppe 1-6,text,true,,9792,279,15,15,null,25117,0,0
946681239024,23171,200,,Thread-Gruppe 1-11,text,true,,10461,464,15,15,null,1442,0,10
946681239024,1442,302,,Thread-Gruppe 1-11,,true,,669,310,15,15,null,1442,0,10
946681240466,21729,200,,Thread-Gruppe 1-11,text,true,,9792,154,15,15,null,21729,0,0
946681239463,22734,200,,Thread-Gruppe 1-8,text,true,,10461,464,15,15,null,807,0,18
946681239463,807,302,,Thread-Gruppe 1-8,,true,,669,310,15,15,null,807,0,18
946681240270,21927,200,,Thread-Gruppe 1-8,text,true,,9792,154,15,15,null,21927,0,0
946681258377,3821,200,,Thread-Gruppe 1-12,text,true,,9792,279,15,15,null,3813,0,0
946681258374,3828,200,,Thread-Gruppe 1-15,text,true,,9792,279,15,15,null,3828,0,0
946681239024,23178,200,,Thread-Gruppe 1-1,text,true,,10461,464,15,15,null,457,0,10
946681239024,457,302,,Thread-Gruppe 1-1,,true,,669,310,15,15,null,457,0,10
946681239481,22721,200,,Thread-Gruppe 1-1,text,true,,9792,154,15,15,null,22721,0,0
946681239367,22904,200,,Thread-Gruppe 1-3,text,true,,10461,464,15,15,null,114,0,11
946681239367,114,302,,Thread-Gruppe 1-3,,true,,669,310,15,15,null,114,0,11
946681239481,22790,200,,Thread-Gruppe 1-3,text,true,,9792,154,15,15,null,22790,0,0
946681235960,26899,200,,Thread-Gruppe 1-5,text,true,,123956,176,15,15,null,26354,0,0
946681235873,27014,200,,Thread-Gruppe 1-2,text,true,,105228,176,15,15,null,26441,0,0
946681236179,26894,200,,Thread-Gruppe 1-7,text,true,,112658,176,15,15,null,26137,0,0
946681262202,2289,200,,Thread-Gruppe 1-1,text,true,,10250,402,15,15,null,1393,0,0
946681262202,1393,302,,Thread-Gruppe 1-1,,true,,1132,252,15,15,null,1393,0,0
946681263595,896,200,,Thread-Gruppe 1-1,text,true,,9118,150,15,15,null,895,0,0
946681262271,2302,200,,Thread-Gruppe 1-3,text,true,,10250,402,15,15,null,1390,0,0
946681262271,1390,302,,Thread-Gruppe 1-3,,true,,1132,252,15,15,null,1390,0,0
946681263661,912,200,,Thread-Gruppe 1-3,text,true,,9118,150,15,15,null,912,0,0
946681262197,2378,200,,Thread-Gruppe 1-8,text,true,,10250,402,15,15,null,1478,0,0
946681262197,1478,302,,Thread-Gruppe 1-8,,true,,1132,252,15,15,null,1478,0,0
946681263675,900,200,,Thread-Gruppe 1-8,text,true,,9118,150,15,15,null,900,0,0
946681262195,2470,200,,Thread-Gruppe 1-11,text,true,,10250,402,15,15,null,1466,0,0
946681262195,1466,302,,Thread-Gruppe 1-11,,true,,1132,252,15,15,null,1466,0,0
946681263661,1004,200,,Thread-Gruppe 1-11,text,true,,9118,150,15,15,null,912,0,0
946681262190,2481,200,,Thread-Gruppe 1-14,text,true,,10250,402,15,15,null,1405,0,0
946681262190,1405,302,,Thread-Gruppe 1-14,,true,,1132,252,15,15,null,1405,0,0
946681263595,1076,200,,Thread-Gruppe 1-14,text,true,,9118,150,15,15,null,1070,0,0
946681262188,2483,200,,Thread-Gruppe 1-9,text,true,,10250,402,15,15,null,1407,0,0
946681262188,1407,302,,Thread-Gruppe 1-9,,true,,1132,252,15,15,null,1407,0,0
946681263595,1076,200,,Thread-Gruppe 1-9,text,true,,9118,150,15,15,null,1076,0,0
946681262188,2483,200,,Thread-Gruppe 1-10,text,true,,10250,402,15,15,null,1407,0,0
946681262188,1407,302,,Thread-Gruppe 1-10,,true,,1132,252,15,15,null,1407,0,0
946681263595,1076,200,,Thread-Gruppe 1-10,text,true,,9118,150,15,15,null,1076,0,0
946681262190,2483,200,,Thread-Gruppe 1-4,text,true,,10250,402,15,15,null,1405,0,0
946681262190,1405,302,,Thread-Gruppe 1-4,,true,,1132,252,15,15,null,1405,0,0
946681263595,1078,200,,Thread-Gruppe 1-4,text,true,,9118,150,15,15,null,1078,0,0
946681262202,2563,200,,Thread-Gruppe 1-15,text,true,,10461,464,15,15,null,1459,0,0
946681262202,1459,302,,Thread-Gruppe 1-15,,true,,669,310,15,15,null,1459,0,0
946681263661,1104,200,,Thread-Gruppe 1-15,text,true,,9792,154,15,15,null,1103,0,0
946681262188,2758,200,,Thread-Gruppe 1-13,text,true,,10461,464,15,15,null,1402,0,0
946681262188,1402,302,,Thread-Gruppe 1-13,,true,,669,310,15,15,null,1402,0,0
946681263590,1356,200,,Thread-Gruppe 1-13,text,true,,9792,154,15,15,null,1356,0,0
946681264491,473,200,,Thread-Gruppe 1-1,text,true,,9118,150,15,15,null,473,0,0
946681262195,2774,200,,Thread-Gruppe 1-6,text,true,,10461,464,15,15,null,1466,0,0
946681262195,1466,302,,Thread-Gruppe 1-6,,true,,669,310,15,15,null,1466,0,0
946681263661,1308,200,,Thread-Gruppe 1-6,text,true,,9792,154,15,15,null,1305,0,0
946681262198,2771,200,,Thread-Gruppe 1-12,text,true,,10461,464,15,15,null,1463,0,0
946681262198,1463,302,,Thread-Gruppe 1-12,,true,,669,310,15,15,null,1463,0,0
946681263661,1308,200,,Thread-Gruppe 1-12,text,true,,9792,154,15,15,null,1308,0,0
946681264573,396,200,,Thread-Gruppe 1-3,text,true,,9118,150,15,15,null,393,0,0
946681264666,400,200,,Thread-Gruppe 1-11,text,true,,9118,150,15,15,null,398,0,0
946681264575,584,200,,Thread-Gruppe 1-8,text,true,,9118,150,15,15,null,489,0,0
946681264674,487,200,,Thread-Gruppe 1-4,text,true,,9118,150,15,15,null,486,0,0
946681264671,495,200,,Thread-Gruppe 1-10,text,true,,9118,150,15,15,null,490,0,0
946681264671,688,200,,Thread-Gruppe 1-9,text,true,,9118,150,15,15,null,688,0,0
946681265102,564,200,,Thread-Gruppe 1-1,text,true,,9922,428,15,15,null,86,0,0
946681265102,86,302,,Thread-Gruppe 1-1,,true,,804,278,15,15,null,86,0,0
946681265188,478,200,,Thread-Gruppe 1-1,text,true,,9118,150,15,15,null,478,0,0
946681264946,826,200,,Thread-Gruppe 1-13,text,true,,10250,402,15,15,null,220,0,0
946681264946,220,302,,Thread-Gruppe 1-13,,true,,1132,252,15,15,null,220,0,0
946681265166,606,200,,Thread-Gruppe 1-13,text,true,,9118,150,15,15,null,606,0,0
946681264765,1011,200,,Thread-Gruppe 1-15,text,true,,10250,402,15,15,null,401,0,0
946681264765,401,302,,Thread-Gruppe 1-15,,true,,1132,252,15,15,null,401,0,0
946681265166,610,200,,Thread-Gruppe 1-15,text,true,,9118,150,15,15,null,610,0,0
946681264969,901,200,,Thread-Gruppe 1-6,text,true,,10250,402,15,15,null,291,0,0
946681264969,291,302,,Thread-Gruppe 1-6,,true,,1132,252,15,15,null,291,0,0
946681265260,610,200,,Thread-Gruppe 1-6,text,true,,9118,150,15,15,null,610,0,0
946681264671,1201,200,,Thread-Gruppe 1-14,text,true,,9118,150,15,15,null,1201,0,0
946681265272,600,200,,Thread-Gruppe 1-10,text,true,,9921,429,15,15,null,287,0,0
946681265272,287,302,,Thread-Gruppe 1-10,,true,,803,279,15,15,null,287,0,0
946681265559,313,200,,Thread-Gruppe 1-10,text,true,,9118,150,15,15,null,313,0,0
946681265359,623,200,,Thread-Gruppe 1-9,text,true,,9921,428,15,15,null,307,0,0
946681265359,307,302,,Thread-Gruppe 1-9,,true,,803,278,15,15,null,307,0,0
946681265666,316,200,,Thread-Gruppe 1-9,text,true,,9118,150,15,15,null,316,0,0
946681265274,712,200,,Thread-Gruppe 1-4,text,true,,9920,428,15,15,null,285,0,0
946681265274,285,302,,Thread-Gruppe 1-4,,true,,802,278,15,15,null,285,0,0
946681265559,427,200,,Thread-Gruppe 1-4,text,true,,9118,150,15,15,null,426,0,0
946681265772,489,200,,Thread-Gruppe 1-13,text,true,,9118,150,15,15,null,402,0,0
946681265175,1086,200,,Thread-Gruppe 1-8,text,true,,9922,428,15,15,null,491,0,0
946681265175,491,302,,Thread-Gruppe 1-8,,true,,804,278,15,15,null,491,0,0
946681265666,595,200,,Thread-Gruppe 1-8,text,true,,9118,150,15,15,null,595,0,0
946681265172,1093,200,,Thread-Gruppe 1-3,text,true,,9921,428,15,15,null,488,0,0
946681265172,488,302,,Thread-Gruppe 1-3,,true,,803,278,15,15,null,488,0,0
